target	mode	pn_exit	em_exit	pn_actions	em_actions	pn_completed	em_completed	pn_vdb	em_vdb	vdb_delta	seconds
app-shells/dash	--build	OK	OK	3	1	4	1	1	1	=	94
app-editors/joe	--build	OK	OK	3	1	4	1	1	1	=	108
app-shells/mksh	--build	OK	OK	3	1	4	1	1	1	=	111
app-editors/mg	--build	OK	OK	6	2	7	2	2	2	=	119
app-misc/screen	--build	OK	OK	5	2	6	2	2	2	=	123
app-misc/jq	--build	OK	OK	6	2	7	2	2	2	=	139
sys-process/htop	--build	OK	OK	3	1	4	1	1	1	=	37
sys-process/atop	--build	FAIL(3)	FAIL(1)	6	0	2	0	0	0	=	25
sys-process/lsof	--build	OK	OK	3	1	4	1	1	1	=	40
sys-process/numactl	--build	OK	OK	3	1	4	1	1	1	=	44
app-arch/p7zip	--build	FAIL(3)	FAIL(1)	5	0	2	0	0	0	=	27
app-arch/zip	--build	OK	OK	3	1	4	1	1	1	=	35
app-editors/jed	--build	FAIL(3)	OK	12	2	3	2	0	2	-2	188
app-arch/cabextract	--build	FAIL(3)	FAIL(1)	6	0	2	0	0	0	=	54
app-arch/unrar	--build	OK	OK	3	1	4	1	1	1	=	80
app-arch/lz4	--build	OK	OK	3	1	4	1	1	1	=	70
net-misc/whois	--build	OK	OK	3	1	4	1	1	1	=	89
app-shells/zsh	--build	OK	OK	3	1	4	1	1	1	=	319
net-misc/socat	--build	OK	OK	3	1	4	1	1	1	=	224
net-analyzer/mtr	--build	OK	OK	3	1	4	1	1	1	=	139
net-misc/iperf	--build	OK	OK	6	2	7	2	2	2	=	198
net-analyzer/tcpdump	--build	FAIL(3)	FAIL(1)	59	1	27	3	7	3	+4	211
net-analyzer/netcat	--build	OK	OK	3	1	4	1	1	1	=	34
net-analyzer/iptraf-ng	--build	OK	OK	3	1	4	1	1	1	=	41
net-irc/weechat	--build	FAIL(3)	FAIL(1)	11	0	3	0	0	0	=	43
net-misc/aria2	--build	OK	OK	6	1	7	1	2	1	+1	265
mail-client/alpine	--build	FAIL(3)	FAIL(1)	3	1	1	0	0	0	=	89
mail-client/mutt	--build	OK	OK	9	3	10	3	3	3	=	352
www-servers/lighttpd	--build	FAIL(3)	OK	10	6	2	6	1	6	-5	257
sys-process/parallel	--build	OK	OK	14	4	15	4	5	4	+1	705
app-misc/mc	--build	OK	OK	41	2	41	2	14	2	+12	881
www-client/lynx	--build	OK	OK	3	1	4	1	1	1	=	233
dev-vcs/cvs	--build	OK	OK	3	1	4	1	1	1	=	150
net-irc/irssi	--build	OK	OK	5	1	6	1	2	1	+1	752
www-servers/apache	--build	OK	OK	16	6	17	6	6	6	=	739
dev-vcs/mercurial	--build	OK	OK	15	1	16	1	5	1	+4	453
sys-apps/pciutils	--build	OK	OK	8	3	9	3	3	3	=	113
net-dns/dnsmasq	--build	OK	OK	48	3	48	3	18	3	+15	900
net-analyzer/iftop	--build	OK	OK	47	2	47	2	17	2	+15	1006
dev-util/ccache	--build	OK	OK	11	4	12	4	4	4	=	156
sys-apps/dmidecode	--build	OK	OK	3	1	4	1	1	1	=	36
sys-apps/usbutils	--build	OK	OK	13	4	14	4	5	4	+1	118
sys-apps/lshw	--build	OK	OK	6	2	7	2	2	2	=	61
sys-apps/lm-sensors	--build	OK	OK	3	1	4	1	1	1	=	34
sys-apps/the_silver_searcher	--build	OK	OK	3	1	4	1	1	1	=	39
sys-fs/dosfstools	--build	OK	OK	3	1	4	1	1	1	=	37
sys-fs/squashfs-tools	--build	OK	OK	3	1	4	1	1	1	=	65
media-libs/libpng	--build	OK	OK	3	1	4	1	1	1	=	106
sys-fs/ntfs3g	--build	OK	OK	3	1	4	1	1	1	=	119
media-libs/giflib	--build	OK	OK	3	1	4	1	1	1	=	87
dev-vcs/subversion	--build	OK	OK	24	9	25	9	9	9	=	502
app-text/wgetpaste	--build	OK	OK	3	1	4	1	1	1	=	29
app-text/asciidoc	--build	OK	OK	3	1	4	1	1	1	=	36
app-portage/gentoolkit	--build	OK	OK	3	1	4	1	1	1	=	37
sys-block/parted	--build	OK	OK	3	1	4	1	1	1	=	152
www-client/w3m	--build	OK	OK	38	3	38	3	13	3	+10	674
dev-libs/jansson	--build	FAIL(3)	FAIL(1)	3	1	1	0	0	0	=	22
net-vpn/openvpn	--build	FAIL(3)	FAIL(1)	21	0	16	4	6	4	+2	129
media-libs/freetype	--build	FAIL(3)	FAIL(1)	64	2	39	1	10	1	+9	185
dev-libs/libyaml	--build	OK	OK	3	1	4	1	1	1	=	53
dev-libs/oniguruma	--build	OK	OK	3	1	4	1	1	1	=	51
dev-lang/tcl	--build	OK	OK	3	1	4	1	1	1	=	107
app-portage/eix	--build	OK	OK	9	3	10	3	3	3	=	146
dev-libs/icu	--build	OK	OK	3	1	4	1	1	1	=	206
dev-libs/protobuf	--build	OK	OK	6	2	7	2	2	2	=	357
