target	mode	pn_exit	em_exit	pn_actions	em_actions	pn_completed	em_completed	pn_vdb	em_vdb	vdb_delta
app-arch/bzip2	--pretend	OK	OK	2	1	0	0	0	0	=
app-arch/xz-utils	--pretend	OK	OK	2	1	0	0	0	0	=
sys-libs/zlib	--pretend	OK	OK	2	1	0	0	0	0	=
sys-apps/coreutils	--pretend	OK(assumed)	OK	3	1	0	0	0	0	=
dev-libs/openssl	--pretend	OK(assumed)	OK	3	1	0	0	0	0	=
dev-libs/glib	--pretend	OK(assumed)	OK	49	1	0	0	0	0	=
net-misc/curl	--pretend	OK	OK	2	1	0	0	0	0	=
net-misc/wget	--pretend	OK	OK	3	1	0	0	0	0	=
app-editors/vim	--pretend	OK(assumed)	OK	53	6	0	0	0	0	=
app-editors/nano	--pretend	OK	OK	3	1	0	0	0	0	=
app-shells/zsh	--pretend	OK	OK	3	1	0	0	0	0	=
app-misc/tmux	--pretend	OK(assumed)	OK	6	2	0	0	0	0	=
sys-process/htop	--pretend	OK	OK	3	1	0	0	0	0	=
net-irc/irssi	--pretend	OK	OK	5	1	0	0	0	0	=
www-servers/apache	--pretend	OK	OK	16	6	0	0	0	0	=
www-servers/nginx	--pretend	OK(assumed)	FAIL(1)	9	?	0	0	0	0	=
media-gfx/graphviz	--pretend	OK(assumed)	FAIL(1)	114	?	0	0	0	0	=
dev-vcs/git	--pretend	OK(assumed)	OK	24	1	0	0	0	0	=
sys-apps/portage	--pretend	OK	OK	3	1	0	0	0	0	=
