target	mode	pn_exit	em_exit	pn_actions	em_actions	pn_completed	em_completed	pn_vdb	em_vdb	vdb_delta	seconds
app-editors/vim	--pretend	OK(assumed)	OK	53	6	0	0	0	0	=	7
app-editors/joe	--pretend	OK	OK	3	1	0	0	0	0	=	8
app-editors/mg	--pretend	OK	OK	6	2	0	0	0	0	=	7
app-editors/jed	--pretend	OK	OK	12	2	0	0	0	0	=	8
app-shells/zsh	--pretend	OK	OK	3	1	0	0	0	0	=	7
app-shells/fish	--pretend	OK(assumed)	OK	71	16	0	0	0	0	=	8
app-shells/dash	--pretend	OK	OK	3	1	0	0	0	0	=	7
app-shells/mksh	--pretend	OK	OK	3	1	0	0	0	0	=	8
app-shells/bash-completion	--pretend	OK(assumed)	OK	9	3	0	0	0	0	=	7
app-misc/tmux	--pretend	OK(assumed)	OK	6	2	0	0	0	0	=	7
app-misc/screen	--pretend	OK	OK	5	2	0	0	0	0	=	8
app-misc/jq	--pretend	OK	OK	6	2	0	0	0	0	=	7
app-misc/yq	--pretend	OK(assumed)	OK	26	9	0	0	0	0	=	8
app-misc/mc	--pretend	OK	OK	41	2	0	0	0	0	=	9
sys-process/htop	--pretend	OK	OK	3	1	0	0	0	0	=	7
sys-process/iotop	--pretend	OK(assumed)	OK	3	1	0	0	0	0	=	8
sys-process/lsof	--pretend	OK	OK	3	1	0	0	0	0	=	7
sys-process/numactl	--pretend	OK	OK	3	1	0	0	0	0	=	7
sys-process/atop	--pretend	OK	OK	6	2	0	0	0	0	=	7
sys-process/parallel	--pretend	OK	OK	14	4	0	0	0	0	=	7
app-arch/p7zip	--pretend	OK	OK	5	2	0	0	0	0	=	7
app-arch/unrar	--pretend	OK	OK	3	1	0	0	0	0	=	9
app-arch/zip	--pretend	OK	OK	3	1	0	0	0	0	=	7
app-arch/lz4	--pretend	OK	OK	3	1	0	0	0	0	=	8
app-arch/lzip	--pretend	OK(assumed)	OK	6	2	0	0	0	0	=	7
app-arch/cabextract	--pretend	OK	OK	6	2	0	0	0	0	=	8
net-misc/socat	--pretend	OK	OK	3	1	0	0	0	0	=	7
net-misc/whois	--pretend	OK	OK	3	1	0	0	0	0	=	8
net-misc/iperf	--pretend	OK	OK	6	2	0	0	0	0	=	8
net-misc/aria2	--pretend	OK	OK	6	1	0	0	0	0	=	8
net-analyzer/nmap	--pretend	OK(assumed)	OK	56	5	0	0	0	0	=	7
net-analyzer/tcpdump	--pretend	OK	OK	59	6	0	0	0	0	=	8
net-analyzer/mtr	--pretend	OK	OK	3	1	0	0	0	0	=	8
net-analyzer/iftop	--pretend	OK	OK	47	2	0	0	0	0	=	7
net-analyzer/iptraf-ng	--pretend	OK	OK	3	1	0	0	0	0	=	8
net-analyzer/traceroute	--pretend	OK(assumed)	OK	3	1	0	0	0	0	=	7
net-analyzer/netcat	--pretend	OK	OK	3	1	0	0	0	0	=	8
net-dns/bind-tools	--pretend	OK(assumed)	OK	10	4	0	0	0	0	=	7
net-dns/dnsmasq	--pretend	OK	OK	48	3	0	0	0	0	=	8
net-irc/irssi	--pretend	OK	OK	5	1	0	0	0	0	=	7
net-irc/weechat	--pretend	OK	OK	11	3	0	0	0	0	=	8
mail-client/mutt	--pretend	OK	OK	9	3	0	0	0	0	=	8
mail-client/alpine	--pretend	OK	OK	3	1	0	0	0	0	=	7
www-servers/apache	--pretend	OK	OK	16	6	0	0	0	0	=	8
www-servers/lighttpd	--pretend	OK	OK	10	6	0	0	0	0	=	7
www-client/lynx	--pretend	OK	OK	3	1	0	0	0	0	=	8
www-client/links	--pretend	OK(assumed)	OK	69	2	0	0	0	0	=	7
www-client/w3m	--pretend	OK	OK	38	3	0	0	0	0	=	7
dev-vcs/mercurial	--pretend	OK	OK	15	1	0	0	0	0	=	8
dev-vcs/subversion	--pretend	OK	OK	24	9	0	0	0	0	=	7
dev-vcs/cvs	--pretend	OK	OK	3	1	0	0	0	0	=	8
dev-util/strace	--pretend	OK(cycles)	FAIL(1)	?	?	0	0	0	0	=	7
dev-util/ltrace	--pretend	OK(cycles)	FAIL(1)	?	?	0	0	0	0	=	8
dev-util/cmake	--pretend	OK(cycles)	FAIL(1)	?	?	0	0	0	0	=	7
dev-util/ninja	--pretend	OK(cycles)	FAIL(1)	?	?	0	0	0	0	=	8
dev-util/meson	--pretend	OK(cycles)	FAIL(1)	?	?	0	0	0	0	=	7
dev-util/ccache	--pretend	OK	OK	11	4	0	0	0	0	=	8
sys-apps/pciutils	--pretend	OK	OK	8	3	0	0	0	0	=	7
sys-apps/usbutils	--pretend	OK	OK	13	4	0	0	0	0	=	7
sys-apps/lshw	--pretend	OK	OK	6	2	0	0	0	0	=	8
sys-apps/dmidecode	--pretend	OK	OK	3	1	0	0	0	0	=	7
sys-apps/smartmontools	--pretend	OK(assumed)	OK	25	10	0	0	0	0	=	8
sys-apps/lm-sensors	--pretend	OK	OK	3	1	0	0	0	0	=	7
sys-apps/ripgrep	--pretend	OK(assumed)	OK	11	4	0	0	0	0	=	8
sys-apps/the_silver_searcher	--pretend	OK	OK	3	1	0	0	0	0	=	7
sys-apps/fd	--pretend	OK(assumed)	OK	14	5	0	0	0	0	=	8
sys-apps/bat	--pretend	OK(assumed)	OK	23	8	0	0	0	0	=	7
sys-apps/tree	--pretend	OK(cycles)	FAIL(1)	?	?	0	0	0	0	=	8
