target	mode	pn_exit	em_exit	pn_actions	em_actions	pn_completed	em_completed	pn_vdb	em_vdb	vdb_delta	seconds
app-arch/cabextract	--build	FAIL(3)	FAIL(1)	6	0	2	0	0	0	=	45
app-admin/genromfs	--build	OK	OK	3	1	4	1	1	1	=	52
app-admin/verynice	--build	OK	OK	3	1	4	1	1	1	=	55
app-arch/engrampa	--build	FAIL(3)	FAIL(1)	189	?	65	0	1	0	+1	55
app-admin/ranpwd	--build	OK	OK	3	1	4	1	1	1	=	62
app-admin/pwcrypt	--build	OK	OK	3	1	4	1	1	1	=	64
app-admin/tmpwatch	--build	OK	OK	3	1	4	1	1	1	=	67
app-arch/lz4	--build	OK	OK	3	1	4	1	1	1	=	67
app-admin/fam	--build	FAIL(3)	FAIL(1)	6	2	4	1	1	1	=	87
app-arch/p7zip	--build	FAIL(3)	FAIL(1)	5	0	2	0	0	0	=	42
app-arch/mscompress	--build	OK	OK	3	1	4	1	1	1	=	56
app-arch/pxz	--build	OK	OK	3	1	4	1	1	1	=	45
app-arch/zip	--build	OK	OK	3	1	4	1	1	1	=	49
app-arch/lzip	--build	OK	OK	6	2	7	2	2	2	=	79
app-arch/lz5	--build	OK	OK	3	1	4	1	1	1	=	140
app-benchmarks/cpuburn	--build	OK	FAIL(1)	4	?	4	0	1	0	+1	51
app-arch/par2cmdline	--build	OK	OK	3	1	4	1	1	1	=	108
app-backup/deja-dup	--build	FAIL(3)	FAIL(1)	377	?	126	0	3	0	+3	74
app-containers/containers-shortnames	--build	OK	OK	3	1	4	1	1	1	=	57
app-admin/logrotate	--build	OK	OK	20	8	21	8	8	8	=	359
app-arch/pax	--build	OK	OK	9	3	10	3	3	3	=	316
app-crypt/hashcat	--build	FAIL(3)	FAIL(1)	30	?	9	0	0	0	=	65
app-arch/gxz	--build	OK	OK	7	3	8	3	3	3	=	502
app-crypt/aespipe	--build	OK	OK	6	2	7	2	2	2	=	343
app-crypt/asedriveiiie-usb	--build	FAIL(3)	FAIL(1)	24	0	18	7	7	7	=	361
app-crypt/pius	--build	OK	OK	3	1	4	1	1	1	=	64
app-arch/unrar	--build	OK	OK	3	1	4	1	1	1	=	522
app-crypt/ubuntu-keyring	--build	OK	OK	3	1	4	1	1	1	=	56
app-admin/sudo	--build	OK	OK	17	7	18	7	7	7	=	606
app-dicts/aspell-af	--build	FAIL(3)	FAIL(1)	9	0	3	0	0	0	=	43
app-dicts/aspell-ast	--build	FAIL(3)	FAIL(1)	9	0	3	0	0	0	=	53
app-dicts/aspell-bn	--build	FAIL(3)	FAIL(1)	9	0	3	0	0	0	=	48
app-dicts/aspell-da	--build	FAIL(3)	FAIL(1)	9	0	3	0	0	0	=	47
app-accessibility/at-spi2-atk	--build	OK	OK	23	9	24	9	9	9	=	653
app-dicts/aspell-el	--build	FAIL(3)	FAIL(1)	9	0	3	0	0	0	=	48
app-crypt/mkp224o	--build	OK	OK	6	2	7	2	2	2	=	223
app-dicts/aspell-et	--build	FAIL(3)	FAIL(1)	9	0	3	0	0	0	=	37
app-containers/cri-tools	--build	OK	OK	7	3	8	3	3	3	=	540
app-dicts/aspell-it	--build	FAIL(3)	FAIL(1)	9	0	3	0	0	0	=	36
app-dicts/aspell-or	--build	FAIL(3)	FAIL(1)	9	0	3	0	0	0	=	35
app-admin/pwman3	--build	OK	OK	28	10	29	10	10	10	=	688
app-dicts/aspell-pt-br	--build	FAIL(3)	FAIL(1)	9	0	3	0	0	0	=	36
app-dicts/myspell-cy	--build	OK	OK	3	1	4	1	1	1	=	39
app-dicts/myspell-da	--build	OK	OK	3	1	4	1	1	1	=	37
